iter	Passed	Remaining
0	0	66
1	1	61
2	1	57
3	2	53
4	2	52
5	3	51
6	3	51
7	4	51
8	5	51
9	5	50
10	6	51
11	6	51
12	7	50
13	8	51
14	9	51
15	9	51
16	10	51
17	11	50
18	11	49
19	12	49
20	12	48
21	13	48
22	14	47
23	14	46
24	15	46
25	16	45
26	16	44
27	17	44
28	17	43
29	18	43
30	19	42
31	19	42
32	20	41
33	20	40
34	21	39
35	22	39
36	22	38
37	23	38
38	23	37
39	24	36
40	25	36
41	25	35
42	25	34
43	26	33
44	27	33
45	27	32
46	28	32
47	28	31
48	29	30
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	39	20
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	42	15
73	43	15
74	44	14
75	44	14
76	45	13
77	46	12
78	46	12
79	47	11
80	47	11
81	48	10
82	48	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	54	4
92	54	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	58	0
